anchor,metric,computed,published,diff,tol,result
至2025-01-06,绝对收益,0.193663,0.245,-0.051337,0.003,FAIL
至2025-01-06,超额(算术),0.145708,0.195,-0.049292,0.003,FAIL
至2025-01-06,IR,0.812265,1.1,-0.287735,0.05,FAIL
至2025年末,绝对收益,0.261568,0.295,-0.033432,0.003,FAIL
至2025年末,超额(算术),0.177297,0.209,-0.031703,0.003,FAIL
至2025年末,IR,0.96415,1.17,-0.20585,0.05,FAIL
全区间(至2026-07-20),绝对收益,0.208834,0.256,-0.047166,0.003,FAIL
全区间(至2026-07-20),超额(算术),0.133602,0.168,-0.034398,0.003,FAIL
全区间(至2026-07-20),IR,0.746831,0.95,-0.203169,0.05,FAIL
全区间(至2026-07-20),超额MDD,-0.401278,-0.321,-0.080278,0.01,FAIL
全区间,周频RankIC,0.109378,0.1145,-0.005122,0.002,FAIL
全区间,年化ICIR,5.341685,5.66,-0.318315,0.2,FAIL
全区间,多空年化,0.483653,0.736,-0.252347,0.015,FAIL
