d,date,v_vwap
2434,2019-01-07,0.0
2444,2019-01-21,1.0279139846197163
2454,2019-02-11,0.9903105986979561
2459,2019-02-18,1.042033040300072
2469,2019-03-04,1.153559059664674
2479,2019-03-18,1.2332895002289763
2489,2019-04-01,1.2976121228655222
2498,2019-04-15,1.3564556068804472
2508,2019-04-29,1.2525268756655006
2515,2019-05-13,1.2223095219497984
2525,2019-05-27,1.2018000877602992
2544,2019-06-24,1.2434033996610643
2554,2019-07-08,1.2135029726055917
2564,2019-07-22,1.18818054531169
2574,2019-08-05,1.1630701237019458
2584,2019-08-19,1.153565576670478
2594,2019-09-02,1.1818137619703835
2613,2019-09-30,1.1786253854923294
2618,2019-10-14,1.222000134136809
2628,2019-10-28,1.215869295780166
2638,2019-11-11,1.1626831434561746
2648,2019-11-25,1.1665364891478103
2658,2019-12-09,1.190938353131623
2668,2019-12-23,1.2160657269246933
2677,2020-01-06,1.2719602662236402
2687,2020-01-20,1.2803374703048616
2701,2020-02-17,1.216472981126028
2711,2020-03-02,1.2644229713191155
2721,2020-03-16,1.283187375774871
2731,2020-03-30,1.1844424369422288
2740,2020-04-13,1.2205020618348474
2750,2020-04-27,1.2182082182814815
2757,2020-05-11,1.2522651522090482
2767,2020-05-25,1.1956173606139795
2777,2020-06-08,1.2732856903443825
2787,2020-06-22,1.3123064035707934
2795,2020-07-06,1.4173386138667163
2805,2020-07-20,1.4792562023544378
2815,2020-08-03,1.5383570050250277
2825,2020-08-17,1.5515739445261458
2835,2020-08-31,1.625347344354472
2845,2020-09-14,1.5299124414095577
2855,2020-09-28,1.5013762916659374
2859,2020-10-12,1.588949152411162
2869,2020-10-26,1.5366486838861424
2879,2020-11-09,1.6026368600169907
2889,2020-11-23,1.5897998135621192
2899,2020-12-07,1.5895464765794618
2909,2020-12-21,1.539116747152594
2928,2021-01-18,1.5262999739362866
2938,2021-02-01,1.4541325875105853
2953,2021-03-01,1.5572035185674584
2963,2021-03-15,1.516962201982962
2973,2021-03-29,1.5871340401612022
2982,2021-04-12,1.5964482269943736
2992,2021-04-26,1.6309194622388459
2999,2021-05-10,1.592154014634399
3009,2021-05-24,1.6156820207013456
3019,2021-06-07,1.6635939219127733
3028,2021-06-21,1.6452400523942927
3038,2021-07-05,1.6458116156827907
3048,2021-07-19,1.6439623997561588
3058,2021-08-02,1.6109782088930822
3068,2021-08-16,1.6964568001001041
3078,2021-08-30,1.7153030696705158
3088,2021-09-13,1.8352227916778543
3096,2021-09-27,1.7917741163103789
3101,2021-10-11,1.821973127084949
3111,2021-10-25,1.789007754205195
3121,2021-11-08,1.798812278475332
