window,n_days,复现_组合收益,复现_超额算术,复现_超额比值,复现_IR,复现_夏普,复现_超额MDD,研报_组合收益,研报_超额,研报_IR,研报_夏普,研报_超额MDD
2019,241,0.2419,-0.0643,-0.063,-0.52,1.09,-0.1099,0.4,0.13,1.04,1.38,-0.046
2020,243,0.2251,-0.0245,-0.026,-0.15,0.91,-0.115,0.44,0.209,1.96,1.8,-0.046
2021,243,0.4199,0.4065,0.4307,2.03,2.32,-0.1559,0.331,0.393,1.29,1.76,-0.106
2022,242,0.0488,0.3291,0.333,1.76,0.32,-0.1389,0.256,0.563,3.07,0.98,-0.066
2023,242,0.3151,0.4614,0.4673,3.23,1.89,-0.0647,0.272,0.44,3.3,1.46,-0.046
2024~2025/1/6,245,-0.0306,-0.0939,-0.0956,-0.12,0.13,-0.4013,0.366,0.226,0.96,1.0,-0.169
2019~2025/1/6(全窗口),1456,0.1937,0.1457,0.1499,0.81,0.82,-0.4013,,,,,
2024,242,0.0208,-0.0884,-0.0902,-0.1,0.26,-0.4013,,,,,
2025,243,0.6642,0.3745,0.3767,1.9,2.36,-0.135,,,,,
2026(至07-20),130,-0.1784,-0.1787,-0.1731,-1.34,-1.15,-0.2743,,,,,
2019~2026(全区间),1826,0.2088,0.1336,0.1382,0.75,0.87,-0.4013,,,,,
