anchor,metric,computed,published,diff,tol,result
至2025-01-06,绝对收益,0.235296,0.245,-0.009704,0.003,FAIL
至2025-01-06,超额(算术),0.185788,0.195,-0.009212,0.003,FAIL
至2025-01-06,IR,0.994477,1.1,-0.105523,0.05,FAIL
至2025年末,绝对收益,0.303813,0.295,0.008813,0.003,FAIL
至2025年末,超额(算术),0.216839,0.209,0.007839,0.003,FAIL
至2025年末,IR,1.140938,1.17,-0.029062,0.05,PASS
全区间(至2026-07-20),绝对收益,0.24892,0.256,-0.00708,0.003,FAIL
全区间(至2026-07-20),超额(算术),0.171302,0.168,0.003302,0.003,FAIL
全区间(至2026-07-20),IR,0.917079,0.95,-0.032921,0.05,PASS
全区间(至2026-07-20),超额MDD,-0.399635,-0.321,-0.078635,0.01,FAIL
全区间,周频RankIC,0.109378,0.1145,-0.005122,0.002,FAIL
全区间,年化ICIR,5.341685,5.66,-0.318315,0.2,FAIL
全区间,多空年化,0.483653,0.736,-0.252347,0.015,FAIL
