d,date,v_vwap
2434,2019-01-07,0.0
2444,2019-01-21,1.0294581718775326
2454,2019-02-11,0.9929467282563706
2459,2019-02-18,1.046392181310966
2469,2019-03-04,1.159420320903158
2479,2019-03-18,1.24153488273001
2489,2019-04-01,1.3080055027934798
2498,2019-04-15,1.3691412974465536
2508,2019-04-29,1.2660747517224016
2515,2019-05-13,1.237341638505196
2525,2019-05-27,1.218389281133104
2544,2019-06-24,1.2628997179704253
2554,2019-07-08,1.2357557207607122
2564,2019-07-22,1.2119011742953114
2574,2019-08-05,1.1881303398105372
2584,2019-08-19,1.1795535553925882
2594,2019-09-02,1.20954821551383
2613,2019-09-30,1.208204528244393
2618,2019-10-14,1.2549004322523316
2628,2019-10-28,1.2500792128479539
2638,2019-11-11,1.1970345926885642
2648,2019-11-25,1.2024404466342307
2658,2019-12-09,1.2292595268442958
2668,2019-12-23,1.2573753757332882
2677,2020-01-06,1.3175400971021412
2687,2020-01-20,1.3285539697272664
2701,2020-02-17,1.264596341601577
2711,2020-03-02,1.3176719807147483
2721,2020-03-16,1.3390244182103073
2731,2020-03-30,1.238108037955813
2740,2020-04-13,1.2777854239566648
2750,2020-04-27,1.2771089658959887
2757,2020-05-11,1.3151458815795731
2767,2020-05-25,1.257768988204729
2777,2020-06-08,1.342321503757106
2787,2020-06-22,1.3857767751052859
2795,2020-07-06,1.4993735383837565
2805,2020-07-20,1.568150119237322
2815,2020-08-03,1.634018987167018
2825,2020-08-17,1.6513259501617892
2835,2020-08-31,1.7326348763284911
2845,2020-09-14,1.6336771929282403
2855,2020-09-28,1.6065495031791515
2859,2020-10-12,1.7027655853533052
2869,2020-10-26,1.6488697609904481
2879,2020-11-09,1.7224770827941565
2889,2020-11-23,1.7116269759414302
2899,2020-12-07,1.7139767769675873
2909,2020-12-21,1.662764920957794
2928,2021-01-18,1.6513846964537882
2938,2021-02-01,1.5771553600569594
2953,2021-03-01,1.6913133394132018
2963,2021-03-15,1.6504995194115026
2973,2021-03-29,1.7297721467667297
2982,2021-04-12,1.7435048941817388
