window,n_days,复现_组合收益,复现_超额算术,复现_超额比值,复现_IR,复现_夏普,复现_超额MDD,研报_组合收益,研报_超额,研报_IR,研报_夏普,研报_超额MDD
2019,241,0.2864,-0.0307,-0.0294,-0.21,1.25,-0.0923,0.4,0.13,1.04,1.38,-0.046
2020,243,0.2797,0.0193,0.0173,0.22,1.07,-0.0985,0.44,0.209,1.96,1.8,-0.046
2021,243,0.4703,0.4566,0.4815,2.24,2.54,-0.1527,0.331,0.393,1.29,1.76,-0.106
2022,242,0.0814,0.3703,0.3744,1.93,0.44,-0.1356,0.256,0.563,3.07,0.98,-0.066
2023,242,0.3532,0.5039,0.5098,3.48,2.07,-0.0637,0.272,0.44,3.3,1.46,-0.046
2024~2025/1/6,245,0.0014,-0.0638,-0.0657,-0.02,0.21,-0.3996,0.366,0.226,0.96,1.0,-0.169
2019~2025/1/6(全窗口),1456,0.2353,0.1858,0.19,0.99,0.95,-0.3996,,,,,
2024,242,0.0531,-0.0594,-0.0614,-0.01,0.33,-0.3996,,,,,
2025,243,0.7077,0.4105,0.4127,2.04,2.47,-0.132,,,,,
2026(至07-20),130,-0.1658,-0.1661,-0.1604,-1.23,-1.05,-0.2691,,,,,
2019~2026(全区间),1826,0.2489,0.1713,0.1759,0.92,1.0,-0.3996,,,,,
